,name,company,year,Price,kms_driven,fuel_type
125,HondaAmaze,Honda,2013,299000,45000,Diesel
126,MarutiSuzuki,Maruti,2015,220000,38000,Petrol
127,ChevroletBeat,Chevrolet,2015,150000,30000,Petrol
129,HondaCity,Honda,2010,285000,35000,Petrol
130,FordEcoSport,Ford,2016,830000,24330,Diesel
131,Hyundaii20,Hyundai,2009,210000,65480,Petrol
132,MarutiSuzuki,Maruti,2013,340000,41000,Petrol
133,TataIndica,Tata,2006,90000,20000,Petrol
134,HindustanMotors,Hindustan,2000,70000,200000,Diesel
135,ToyotaCorolla,Toyota,2010,289999,70000,Petrol
136,ToyotaCorolla,Toyota,2012,349999,59000,Petrol
137,ToyotaInnova,Toyota,2012,849999,99000,Diesel
138,VolkswagenJetta,Volkswagen,2014,749999,46000,Diesel
139,VolkswagenPolo,Volkswagen,2015,399999,2800,Petrol
140,VolkswagenPolo,Volkswagen,2014,274999,32000,Petrol
141,MahindraScorpio,Mahindra,2015,984999,22000,Diesel
142,RenaultDuster,Renault,2014,449999,50000,Diesel
143,HondaAmaze,Honda,2015,344999,22000,Petrol
144,NissanSunny,Nissan,2012,224999,45000,Petrol
145,HyundaiElite,Hyundai,2018,599999,21000,Petrol
146,RenaultKwid,Renault,2016,244999,11000,Petrol
147,RenaultDuster,Renault,2013,399999,41000,Diesel
148,FordEcoSport,Ford,2017,489999,39000,Petrol
149,RenaultDuster,Renault,2014,474999,50000,Diesel
150,MahindraScorpio,Mahindra,2011,499999,66000,Diesel
151,MarutiSuzuki,Maruti,2018,310000,3000,Petrol
152,ChevroletSpark,Chevrolet,2010,85000,45000,Petrol
153,DatsunRedi,Datsun,2016,245000,7000,Petrol
154,MarutiSuzuki,Maruti,2010,189500,38500,Diesel
155,FiatPunto,Fiat,2012,169500,37200,Diesel
156,MarutiSuzuki,Maruti,2010,159500,43200,Diesel
157,ToyotaEtios,Toyota,2013,275000,24800,Petrol
158,Hyundaii20,Hyundai,2014,370000,60000,Diesel
159,Hyundaii10,Hyundai,2010,168000,45872,Petrol
160,ChevroletBeat,Chevrolet,2011,150000,40000,Diesel
161,ChevroletBeat,Chevrolet,2011,145000,45000,Diesel
162,ChevroletBeat,Chevrolet,2012,98500,38000,Diesel
163,MahindraScorpio,Mahindra,2014,699000,50000,Diesel
164,TataIndigo,Tata,2011,85000,11400,Diesel
165,ToyotaCorolla,Toyota,2015,575000,42000,Petrol
166,HondaCity,Honda,2014,549000,39000,Petrol
167,MarutiSuzuki,Maruti,2011,209000,47000,Diesel
168,HyundaiEon,Hyundai,2013,185000,27000,Petrol
169,MahindraScorpio,Mahindra,2015,900000,97200,Diesel
170,MahindraXUV500,Mahindra,2014,699999,52000,Diesel
171,HondaBrio,Honda,2012,224999,30000,Petrol
172,FordFiesta,Ford,2011,274999,55000,Diesel
173,HondaAmaze,Honda,2013,284999,46000,Diesel
174,HondaCity,Honda,2015,599999,30000,Diesel
175,MarutiSuzuki,Maruti,2012,199999,44000,Petrol
176,HondaCity,Honda,2014,544999,45000,Diesel
177,Hyundaii20,Hyundai,2009,199000,31000,Petrol
178,TataIndigo,Tata,2016,320000,175430,Diesel
179,HyundaiFluidic,Hyundai,2015,540000,38000,Diesel
180,MahindraQuanto,Mahindra,2013,340000,37000,Diesel
181,FiatPetra,Fiat,2008,75000,65000,Petrol
182,SkodaFabia,Skoda,2011,159500,38200,Diesel
183,MiniCooper,Mini,2013,1891111,13000,Petrol
184,HyundaiSantro,Hyundai,2005,49000,7500,Petrol
185,MarutiSuzuki,Maruti,2016,700000,3350,Petrol
186,MarutiSuzuki,Maruti,2000,55000,60000,Petrol
187,HondaCity,Honda,2015,448999,54000,Petrol
188,HyundaiCreta,Hyundai,2017,895000,32000,Petrol
189,MahindraScorpio,Mahindra,2007,355000,75000,Diesel
190,MahindraScorpio,Mahindra,2012,565000,62000,Diesel
191,ToyotaInnova,Toyota,2006,365000,73000,Diesel
192,MarutiSuzuki,Maruti,2011,145000,41000,Petrol
193,MarutiSuzuki,Maruti,2011,210000,35000,Petrol
194,TataNano,Tata,2013,40000,2200,Petrol
195,MarutiSuzuki,Maruti,2013,125000,39000,Petrol
196,MarutiSuzuki,Maruti,2009,135000,45000,Petrol
197,MarutiSuzuki,Maruti,2006,135000,45000,Petrol
198,TataSumo,Tata,2012,285000,65000,Diesel
199,MarutiSuzuki,Maruti,2010,145000,54870,Petrol
200,MarutiSuzuki,Maruti,2010,135000,34580,Petrol
201,VolkswagenPassat,Volkswagen,2009,450000,97000,Diesel
202,RenaultScala,Renault,2015,375000,25000,Diesel
203,MahindraQuanto,Mahindra,2013,375000,20000,Diesel
204,HyundaiGrand,Hyundai,2014,365000,20000,Petrol
205,Hyundaii20,Hyundai,2015,500000,18000,Petrol
206,MahindraXylo,Mahindra,2012,400000,35000,Diesel
207,MahindraJeep,Mahindra,2019,390000,60,Diesel
208,RenaultDuster,Renault,2012,501000,35000,Diesel
209,MahindraBolero,Mahindra,2013,330000,80200,Diesel
210,ForceMotors,Force,2015,580000,3200,Diesel
211,MarutiSuzuki,Maruti,2012,265000,46000,Diesel
212,MahindraJeep,Mahindra,2019,379000,0,Diesel
213,MarutiSuzuki,Maruti,2015,219000,5000,Petrol
214,MahindraJeep,Mahindra,2018,385000,588,Diesel
215,ToyotaEtios,Toyota,2011,275000,36000,Diesel
216,VolkswagenPolo,Volkswagen,2015,330000,38000,Diesel
217,HondaCity,Honda,2008,110000,45000,Petrol
218,MarutiSuzuki,Maruti,2006,80000,71200,Petrol
219,HondaCity,Honda,2016,519000,52000,Diesel
220,MahindraThar,Mahindra,2016,730000,29000,Diesel
221,MitsubishiPajero,Mitsubishi,2015,1475000,47000,Diesel
222,AudiA4,Audi,2009,699000,47000,Petrol
223,MercedesBenz,Mercedes,2015,2000000,20000,Diesel
224,LandRover,Land,2015,2100000,30000,Diesel
225,RenaultKwid,Renault,2017,340000,5000,Petrol
226,TataAria,Tata,2014,390000,35000,Diesel
227,MercedesBenz,Mercedes,2014,1400000,31000,Petrol
228,DatsunGO,Datsun,2016,245000,7000,Petrol
229,TataIndigo,Tata,2016,320000,175430,Diesel
230,TataIndigo,Tata,2016,320000,175400,Diesel
231,HondaJazz,Honda,2016,450000,41000,Petrol
232,HondaAmaze,Honda,2014,311000,33000,Petrol
233,HondaAmaze,Honda,2013,284999,46000,Diesel
234,HondaCity,Honda,2012,399999,45000,Petrol
235,HondaCity,Honda,2015,599999,39000,Diesel
236,HondaAmaze,Honda,2015,344999,22000,Petrol
237,AudiA4,Audi,2009,699000,47000,Petrol
238,ForceMotors,Force,2015,580000,3200,Diesel
239,MahindraScorpio,Mahindra,2015,855000,30000,Diesel
240,Hyundaii20,Hyundai,2015,535000,37000,Diesel
241,MiniCooper,Mini,2013,1891111,13000,Petrol
242,MarutiSuzuki,Maruti,2017,699000,14000,Petrol
243,ChevroletTavera,Chevrolet,2013,375000,55000,Diesel
244,HondaAmaze,Honda,2013,284999,46000,Diesel
245,HyundaiEon,Hyundai,2012,178000,30000,Petrol
246,TataSumo,Tata,2013,300000,50000,Diesel
247,MarutiSuzuki,Maruti,2003,90000,45000,Petrol
248,MarutiSuzuki,Maruti,2006,95000,45000,Petrol
249,MarutiSuzuki,Maruti,2015,255000,9300,Petrol
250,ChevroletEnjoy,Chevrolet,2013,245000,55000,Diesel
251,Hyundaii20,Hyundai,2012,329500,36200,Diesel
252,FordFigo,Ford,2014,195000,50000,Diesel
253,MarutiSuzuki,Maruti,2015,251111,55000,Petrol
254,MarutiSuzuki,Maruti,2014,569999,45000,Petrol
255,MarutiSuzuki,Maruti,2007,69999,51000,Petrol
256,MarutiSuzuki,Maruti,2014,299999,19000,Petrol
